 19 -1 3 1
 20 -1 3 2
 21 -1 3 2
 22 -1 3 2
 23 -1 3 2
 24 -1 3 1
 25 -1 3 2
 26 -1 3 2
 27 -1 3 2
 37 -1 4 1
 38 -1 4 2
 39 -1 4 2
 40 -1 4 2
 41 -1 4 1
 42 -1 4 1
 43 -1 4 2
 44 -1 4 1
 45 -1 4 1
 47 -1 4 1
 48 -1 4 2
 49 -1 4 2
 49  1 3 1
 50 -1 4 2
 50 -1 3 2
 51 -1 4 2
 51  1 3 2
 51 -2 3 1
 52 -1 4 2
 52  1 3 2
 52 -2 3 2
 53 -1 4 2
 53  1 3 2
 53 -2 3 3
 54 -1 4 2
 54  1 3 2
 54 -2 3 4
 55 -1 4 2
 55  1 3 2
 55 -2 3 4
 55 -1 5 1
 56 -1 4 2
 56  1 3 2
 56 -2 3 4
 56 -1 5 2
 57 -1 4 2
 57  1 3 2
 57 -2 3 4
 57 -1 5 2
 57  2 2 1
 58 -1 4 2
 58  1 3 2
 58 -2 3 4
 58 -1 5 2
 58  2 2 1
 58  3 0 1
 59 -1 4 2
 59  1 3 2
 59 -2 3 4
 59 -1 5 2
 59  3 0 3
 60 -1 4 2
 60  1 3 2
 60 -2 3 4
 60 -1 5 2
 60  3 0 4
 61 -1 4 2
 61  1 3 2
 61 -2 3 4
 61 -1 5 2
 61  3 0 5
 62 -1 4 2
 62  1 3 2
 62 -2 3 4
 62 -1 5 2
 62  3 0 6
 63 -1 4 2
 63  1 3 2
 63 -2 3 4
 63 -1 5 2
 63  3 0 6
 63 -4 0 1
 64 -1 4 2
 64  1 3 2
 64 -2 3 4
 64 -1 5 2
 64  2 2 1
 64  3 0 6
 64 -4 0 1
 65 -1 4 2
 65  1 3 2
 65 -2 3 4
 65 -1 5 2
 65  3 0 6
 65 -4 0 3
 66 -1 4 2
 66  1 3 2
 66 -2 3 4
 66 -1 5 2
 66  3 0 6
 66 -4 0 4
 67 -1 4 2
 67  1 3 2
 67 -2 3 4
 67 -1 5 2
 67  3 0 6
 67 -4 0 5
 68 -1 4 2
 68  1 3 2
 68 -2 3 4
 68 -1 5 2
 68  3 0 6
 68 -4 0 6
 69 -1 4 2
 69  1 3 2
 69 -2 3 4
 69 -1 5 2
 69  3 0 6
 69 -4 0 7
 70 -1 4 2
 70  1 3 2
 70 -2 3 4
 70 -1 5 2
 70  3 0 6
 70 -4 0 8
 71  2 2 1
 71 -1 5 2
 72 -1 5 2
 73 -1 5 2
 74 -1 5 2
 75 -1 5 2
 76 -1 5 2
 77 -1 5 2
 78 -1 5 1
 79 -1 5 1
 80 -1 5 2
 81 -1 5 2
 81  1 4 1
 82 -1 5 2
 82  1 4 2
 83 -1 5 2
 83  1 4 2
 83 -2 4 1
 84 -1 5 2
 84  1 4 2
 84 -2 4 2
 85 -1 5 2
 85  1 4 2
 85 -2 4 3
 86 -1 5 2
 86  1 4 2
 86 -2 4 4
 87 -1 5 2
 87  1 4 2
 87 -2 4 4
 87 -1 6 1
 88 -1 5 2
 88  1 4 2
 88 -2 4 4
 88 -1 6 2
 89 -1 5 2
 89  1 4 2
 89 -2 4 4
 89  2 3 1
 89 -1 6 2
 90 -1 5 2
 90  1 4 2
 90 -2 4 4
 90  2 3 2
 90 -1 6 2
 91 -1 5 2
 91  1 4 2
 91 -2 4 4
 91  3 1 2
 91  2 3 1
 91 -1 6 2
 92 -1 5 2
 92  1 4 2
 92 -2 4 4
 92  3 1 3
 92  2 3 1
 92 -1 6 2
 93 -1 5 2
 93  1 4 2
 93 -2 4 4
 93  3 1 4
 93  2 3 1
 93 -1 6 2
 94 -1 5 2
 94  1 4 2
 94 -2 4 4
 94  3 1 6
 94 -1 6 2
 95 -1 5 2
 95  1 4 2
 95 -2 4 4
 95  3 1 6
 95 -4 1 1
 95 -1 6 2
 96 -1 5 2
 96  1 4 2
 96 -2 4 4
 96  2 3 1
 96  3 1 6
 96 -4 1 1
 96 -1 6 2
 97 -1 5 2
 97  1 4 2
 97 -2 4 4
 97  2 3 1
 97  3 1 6
 97 -4 1 2
 97 -1 6 2
 98 -1 5 2
 98  1 4 2
 98 -2 4 4
 98  3 1 6
 98 -4 1 4
 98 -1 6 2
 99 -1 5 2
 99  1 4 2
 99 -2 4 4
 99  3 1 6
 99 -4 1 5
 99 -1 6 2
100 -1 5 2
100  1 4 2
100 -2 4 4
100  3 1 6
100 -4 1 6
100 -1 6 2
101 -1 5 2
101  1 4 2
101 -2 4 4
101  3 1 6
101 -4 1 7
101 -1 6 2
102 -1 5 2
102  1 4 2
102 -2 4 4
102  3 1 6
102 -4 1 8
102 -1 6 2
103 -1 5 2
103  1 4 2
103 -2 4 4
103  3 1 6
103 -4 1 6
103 -1 6 2
103  2 3 1
104 -1 5 2
104  1 4 2
104 -2 4 4
104  3 1 6
104 -4 1 6
104 -1 6 2
104  2 3 2
